iter	Passed	Remaining
0	0	928
1	1	631
2	1	537
3	1	492
4	2	474
5	2	452
6	3	536
7	4	512
8	4	494
9	4	483
10	5	471
11	6	521
12	6	507
13	7	493
14	7	481
15	7	473
16	8	464
17	8	460
18	8	456
19	9	450
20	9	448
21	9	443
22	10	438
23	10	435
24	11	430
25	11	425
26	11	419
27	12	419
28	12	414
29	12	413
30	13	411
31	13	407
32	13	404
33	14	403
34	14	402
35	15	402
36	15	402
37	15	404
38	16	402
39	16	400
40	17	400
41	17	398
42	17	398
43	18	396
44	18	396
45	19	396
46	19	395
47	19	395
48	20	394
49	20	393
50	21	394
51	21	393
52	22	393
53	22	392
54	22	391
55	23	390
56	23	389
57	23	388
58	24	386
59	24	385
60	25	385
61	25	383
62	25	383
63	26	383
64	26	382
65	26	381
66	27	381
67	27	381
68	28	381
69	28	380
70	29	380
71	29	380
72	29	379
73	30	379
74	30	379
75	31	378
76	31	377
77	31	377
78	32	376
79	32	376
80	33	375
81	33	374
82	33	373
83	34	372
84	34	371
85	34	371
86	35	370
87	35	370
88	36	370
89	36	369
90	36	368
91	37	368
92	37	368
93	38	368
94	38	367
95	39	367
96	39	366
97	39	364
98	40	364
99	40	364
100	40	363
101	41	363
102	41	362
103	42	362
104	42	362
105	42	362
106	43	361
107	43	361
108	44	360
109	44	360
110	45	360
111	45	360
112	45	360
113	46	360
114	46	359
115	47	359
116	47	358
117	47	357
118	48	357
119	48	356
120	49	356
121	49	356
122	49	355
123	50	354
124	50	354
125	50	353
126	51	352
127	51	352
128	52	351
129	52	351
130	52	350
131	53	349
132	53	349
133	53	348
134	54	348
135	54	348
136	55	347
137	55	347
138	55	346
139	56	346
140	56	345
141	57	345
142	57	344
143	57	344
144	58	343
145	58	343
146	59	342
147	59	342
148	59	342
149	60	341
150	60	341
151	61	340
152	61	340
153	61	340
154	62	339
155	62	338
156	63	338
157	63	337
158	63	337
159	64	336
160	64	336
161	64	335
162	65	335
163	65	335
164	66	334
165	66	334
166	66	333
167	67	332
168	67	332
169	67	331
170	68	330
171	68	330
172	69	330
173	69	329
174	69	329
175	70	328
176	70	328
177	71	328
178	71	327
179	71	327
180	72	326
181	72	326
182	72	325
183	73	325
184	73	324
185	74	324
186	74	324
187	75	324
188	75	323
189	75	323
190	76	323
191	76	322
192	77	322
193	77	321
194	77	321
195	78	321
196	78	320
197	79	320
198	79	319
199	79	319
200	80	318
201	81	320
202	81	319
203	81	319
204	82	319
205	82	319
206	83	318
207	83	318
208	83	317
209	84	316
210	84	316
211	84	315
212	85	315
213	85	314
214	86	314
215	86	314
216	86	313
217	87	313
218	87	312
219	88	312
220	88	311
221	88	311
222	89	310
223	89	310
224	89	309
225	90	309
226	90	308
227	91	308
228	91	308
229	91	307
230	92	307
231	92	307
232	93	306
233	93	306
234	93	305
235	94	305
236	94	304
237	94	303
238	95	303
239	95	303
240	96	302
241	96	301
242	96	301
243	97	300
244	97	300
245	97	300
246	98	299
247	98	299
248	99	298
249	99	298
250	100	299
251	100	299
252	101	299
253	101	298
254	102	298
255	102	297
256	102	297
257	103	296
258	103	296
259	103	295
260	104	295
261	104	295
262	105	294
263	105	294
264	105	293
265	106	293
266	106	292
267	107	292
268	107	291
269	107	291
270	108	291
271	108	290
272	109	290
273	109	289
274	109	289
275	110	289
276	110	288
277	110	288
278	111	287
279	111	287
280	112	286
281	112	286
282	112	285
283	113	285
284	113	284
285	113	284
286	114	283
287	114	283
288	114	282
289	115	282
290	115	281
291	115	281
292	116	280
293	116	280
294	117	279
295	117	279
296	117	278
297	118	278
298	118	277
299	118	277
300	119	277
301	119	276
302	120	276
303	120	275
304	120	275
305	121	274
306	121	274
307	121	273
308	122	273
309	122	272
310	122	272
311	123	271
312	123	271
313	123	270
314	124	270
315	124	270
316	125	269
317	125	269
318	125	268
319	126	268
320	126	268
321	127	267
322	127	267
323	127	266
324	128	266
325	128	265
326	128	265
327	129	264
328	129	264
329	130	264
330	130	263
331	130	263
332	131	262
333	131	262
334	132	262
335	132	261
336	132	261
337	133	260
338	133	260
339	133	259
340	134	259
341	134	258
342	134	258
343	135	258
344	135	257
345	136	257
346	136	256
347	136	256
348	137	257
349	138	256
350	138	256
351	138	255
352	139	255
353	139	254
354	139	254
355	140	253
356	140	253
357	140	252
358	141	252
359	141	251
360	142	251
361	142	251
362	142	250
363	143	250
364	143	249
365	143	249
366	144	249
367	144	248
368	145	248
369	145	247
370	145	247
371	146	246
372	146	246
373	147	246
374	147	245
375	147	245
376	148	244
377	148	244
378	148	243
379	149	243
380	149	242
381	149	242
382	150	241
383	150	241
384	150	240
385	151	240
386	151	239
387	151	239
388	152	238
389	152	238
390	152	238
391	153	237
392	153	237
393	154	237
394	154	236
395	154	236
396	155	235
397	155	235
398	155	234
399	156	234
400	156	234
401	157	233
402	157	233
403	157	232
404	158	232
405	158	232
406	159	231
407	159	231
408	159	231
409	160	230
410	160	230
411	161	229
412	161	229
413	161	229
414	162	228
415	162	228
416	163	228
417	163	227
418	163	227
419	164	226
420	164	226
421	165	226
422	165	225
423	165	225
424	166	225
425	166	224
426	167	224
427	167	223
428	167	223
429	168	223
430	168	222
431	169	222
432	169	221
433	169	221
434	170	221
435	170	220
436	170	220
437	171	219
438	171	219
439	172	219
440	172	218
441	172	218
442	173	217
443	173	217
444	174	217
445	174	216
446	174	216
447	175	215
448	175	215
449	176	215
450	176	214
451	176	214
452	177	214
453	177	213
454	178	214
455	179	213
456	179	213
457	179	212
458	180	212
459	180	212
460	181	211
461	181	211
462	181	210
463	182	210
464	182	210
465	183	209
466	183	209
467	183	208
468	184	208
469	184	208
470	184	207
471	185	207
472	185	206
473	186	206
474	186	206
475	186	205
476	187	205
477	187	204
478	187	204
479	188	203
480	188	203
481	189	203
482	189	202
483	189	202
484	190	202
485	190	201
486	191	201
487	191	200
488	191	200
489	192	200
490	192	199
491	192	199
492	193	198
493	193	198
494	194	198
495	194	197
496	194	197
497	195	196
498	195	196
499	196	196
500	196	195
501	196	195
502	197	194
503	197	194
504	197	194
505	198	193
506	198	193
507	199	192
508	199	192
509	200	192
510	200	191
511	200	191
512	201	190
513	201	190
514	202	190
515	202	189
516	202	189
517	203	189
518	203	188
519	203	188
520	204	187
521	204	187
522	205	187
523	205	186
524	205	186
525	206	185
526	206	185
527	207	185
528	207	184
529	207	184
530	208	184
531	208	183
532	209	183
533	209	182
534	209	182
535	210	182
536	210	181
537	211	181
538	211	180
539	211	180
540	212	180
541	212	179
542	213	179
543	213	178
544	213	178
545	214	178
546	214	177
547	215	177
548	215	177
549	215	176
550	216	176
551	216	175
552	217	175
553	217	175
554	218	174
555	218	174
556	218	174
557	219	173
558	219	173
559	220	172
560	220	172
561	220	172
562	221	171
563	221	171
564	222	170
565	222	170
566	222	170
567	223	169
568	223	169
569	223	168
570	224	168
571	224	168
572	225	167
573	225	167
574	225	166
575	226	166
576	226	166
577	226	165
578	227	165
579	227	164
580	227	164
581	228	163
582	228	163
583	228	163
584	229	162
585	229	162
586	230	161
587	230	161
588	230	161
589	231	160
590	231	160
591	231	159
592	232	159
593	232	159
594	233	158
595	233	158
596	233	157
597	234	157
598	234	157
599	235	156
600	235	156
601	235	155
602	236	155
603	236	155
604	237	154
605	237	154
606	237	154
607	238	153
608	238	153
609	239	152
610	239	152
611	239	152
612	240	151
613	240	151
614	241	150
615	241	150
616	241	150
617	242	149
618	242	149
619	242	148
620	243	148
621	243	148
622	244	147
623	244	147
624	244	146
625	245	146
626	245	146
627	245	145
628	246	145
629	246	144
630	246	144
631	247	144
632	247	143
633	248	143
634	248	142
635	248	142
636	249	142
637	249	141
638	250	141
639	250	140
640	250	140
641	251	140
642	251	139
643	252	139
644	252	138
645	252	138
646	253	138
647	253	137
648	253	137
649	254	136
650	254	136
651	255	136
652	255	135
653	256	135
654	256	135
655	256	134
656	257	134
657	257	133
658	257	133
659	258	133
660	258	132
661	258	132
662	259	131
663	259	131
664	260	131
665	260	130
666	260	130
667	261	129
668	261	129
669	262	129
670	262	128
671	262	128
672	263	127
673	263	127
674	264	127
675	264	126
676	264	126
677	265	125
678	265	125
679	265	125
680	266	124
681	266	124
682	267	123
683	267	123
684	267	123
685	268	122
686	268	122
687	269	122
688	269	121
689	269	121
690	270	120
691	270	120
692	270	119
693	271	119
694	271	119
695	271	118
696	272	118
697	272	118
698	273	117
699	273	117
700	273	116
701	274	116
702	274	116
703	275	115
704	275	115
705	275	114
706	276	114
707	276	114
708	277	113
709	277	113
710	277	112
711	278	112
712	278	112
713	278	111
714	279	111
715	279	110
716	280	110
717	280	110
718	280	109
719	281	109
720	281	109
721	282	108
722	282	108
723	283	107
724	283	107
725	283	107
726	284	106
727	284	106
728	284	105
729	285	105
730	285	105
731	286	104
732	286	104
733	286	103
734	287	103
735	287	103
736	288	102
737	288	102
738	288	102
739	289	101
740	289	101
741	290	100
742	290	100
743	290	100
744	291	99
745	291	99
746	292	98
747	292	98
748	292	98
749	293	97
750	293	97
751	294	96
752	294	96
753	294	96
754	295	95
755	295	95
756	295	94
757	296	94
758	296	94
759	297	93
760	297	93
761	297	93
762	298	92
763	298	92
764	299	91
765	299	91
766	299	91
767	300	90
768	300	90
769	300	89
770	301	89
771	301	89
772	302	88
773	302	88
774	302	87
775	303	87
776	303	87
777	304	86
778	304	86
779	304	85
780	305	85
781	305	85
782	306	84
783	306	84
784	307	84
785	307	83
786	308	83
787	308	83
788	308	82
789	309	82
790	309	81
791	310	81
792	310	81
793	310	80
794	311	80
795	311	79
796	312	79
797	312	79
798	313	78
799	313	78
800	313	77
801	314	77
802	314	77
803	315	76
804	315	76
805	315	75
806	316	75
807	316	75
808	316	74
809	317	74
810	317	74
811	318	73
812	318	73
813	318	72
814	319	72
815	319	72
816	320	71
817	320	71
818	320	70
819	321	70
820	321	70
821	322	69
822	322	69
823	322	68
824	323	68
825	323	68
826	324	67
827	324	67
828	324	67
829	325	66
830	325	66
831	326	65
832	326	65
833	326	65
834	327	64
835	327	64
836	327	63
837	328	63
838	328	63
839	329	62
840	329	62
841	329	61
842	330	61
843	330	61
844	330	60
845	331	60
846	331	59
847	332	59
848	332	59
849	332	58
850	333	58
851	333	57
852	333	57
853	334	57
854	334	56
855	335	56
856	335	55
857	335	55
858	336	55
859	336	54
860	337	54
861	337	54
862	337	53
863	338	53
864	338	52
865	338	52
866	339	52
867	339	51
868	340	51
869	340	50
870	341	50
871	341	50
872	341	49
873	342	49
874	342	48
875	343	48
876	343	48
877	343	47
878	344	47
879	344	47
880	345	46
881	345	46
882	345	45
883	346	45
884	346	45
885	346	44
886	347	44
887	347	43
888	348	43
889	348	43
890	348	42
891	349	42
892	349	41
893	350	41
894	350	41
895	350	40
896	351	40
897	351	39
898	351	39
899	352	39
900	352	38
901	353	38
902	353	37
903	354	37
904	354	37
905	354	36
906	355	36
907	355	36
908	355	35
909	356	35
910	356	34
911	357	34
912	357	34
913	358	33
914	358	33
915	358	32
916	359	32
917	359	32
918	359	31
919	360	31
920	360	30
921	361	30
922	361	30
923	362	29
924	362	29
925	362	28
926	363	28
927	363	28
928	363	27
929	364	27
930	364	27
931	365	26
932	365	26
933	365	25
934	366	25
935	366	25
936	367	24
937	367	24
938	367	23
939	368	23
940	368	23
941	369	22
942	369	22
943	370	21
944	370	21
945	370	21
946	371	20
947	371	20
948	371	19
949	372	19
950	372	19
951	373	18
952	373	18
953	374	18
954	374	17
955	374	17
956	375	16
957	375	16
958	376	16
959	376	15
960	376	15
961	377	14
962	377	14
963	377	14
964	378	13
965	378	13
966	379	12
967	379	12
968	379	12
969	380	11
970	380	11
971	381	10
972	381	10
973	382	10
974	382	9
975	382	9
976	383	9
977	383	8
978	384	8
979	384	7
980	384	7
981	385	7
982	385	6
983	385	6
984	386	5
985	386	5
986	387	5
987	387	4
988	387	4
989	388	3
990	388	3
991	389	3
992	389	2
993	389	2
994	390	1
995	390	1
996	391	1
997	391	0
998	391	0
999	392	0
